Model,Accuracy,Precision,Recall,F1
Logistic Regression Tuned,0.8508474576271187,0.859375,0.6962025316455697,0.7692307692307693
Decision Tree,0.7728813559322034,0.6923076923076923,0.6550632911392406,0.6731707317073171
Random Forest Tuned,0.8531073446327684,0.8690476190476191,0.6930379746835443,0.7711267605633803
